field,section,idx,description,include,subsection_descr,placeholder,atc_codes
Qualifier1,3,HL,with ultrasound and Doppler (intravascular or abdominal and transrectal),,,,
Qualifier1,3,HM,with intravascular ultrasound and color flow and Doppler,,,,
Qualifier1,3,KA,with function study,,,,
Qualifier1,3,KC,with perfusion study,,,,
Qualifier1,3,KD,with ventilation study,,,,
Qualifier1,3,KE,with ventilation study and perfusion study,,,,
Qualifier1,3,KG,"with perfusion imaging, single study at rest",,,,
Qualifier1,3,KH,"with perfusion imaging, multiple studies, resting and with stress and redistribution",,,,
Qualifier1,3,KK,with vascular flow and function study,,,,
Qualifier1,3,KM,with physically induced stress,,,,
Qualifier1,3,KN,with pharmacologically induced stress,,,,
Qualifier1,3,KP,"with blood pool imaging, first pass technique, single study at rest",,,,
Qualifier1,3,KQ,"with blood pool imaging, first pass technique, multiple studies, resting and with stress",,,,
Qualifier1,3,KR,blood pool imaging and vascular flow,,,,
Qualifier1,3,KS,blood pool imaging and SPEC tomography (SPECT),,,,
Qualifier1,3,LA,with abdominal and trans-vaginal ultrasound alone,,,,
Qualifier1,3,LB,with abdominal and trans-vaginal ultrasound and color flow,,,,
Qualifier1,3,LC,with abdominal and trans-vaginal ultrasound and Doppler,,,,
Qualifier1,3,LD,with abdominal and trans-vaginal ultrasound and color flow and Doppler,,,,
Qualifier1,3,MA,with intravascular ultrasound alone,,,,
Qualifier1,3,MB,with intravascular ultrasound and color flow,,,,
Qualifier1,3,MC,with intravascular ultrasound and Doppler,,,,
Qualifier1,3,MD,with intravascular ultrasound and color flow and Doppler,,,,
Qualifier1,3,MX,without intrinsic factor,,,,
Qualifier1,3,MY,with intrinsic factor,,,,
Qualifier1,3,MZ,with and without intrinsic factor,,,,
Qualifier1,3,NA,with abdominal and trans-rectal ultrasound alone,,,,
Qualifier1,3,NB,with abdominal and trans-rectal ultrasound and color flow,,,,
Qualifier1,3,NC,with abdominal and trans-rectal ultrasound and Doppler,,,,
Qualifier1,3,ND,with abdominal and trans-rectal ultrasound and color flow and Doppler,,,,
Qualifier1,3,PB,for total blood volume determination,,,,
Qualifier1,3,PD,for white blood cell survival,,,,
Qualifier1,3,PE,for white blood cell survival with sequestration,,,,
Qualifier1,3,PL,for plasma volume determination,,,,
Qualifier1,3,PP,for red blood cell survival,,,,
Qualifier1,3,PQ,for red blood cell survival with sequestration,,,,
Qualifier1,3,PR,for red blood cell volume determination,,,,
Qualifier1,3,PS,for red blood cell survival,,,,
Qualifier1,3,PT,for platelet survival,,,,
Qualifier1,3,PU,for platelet survival with sequestration,,,,
Qualifier1,3,SC,for blood loss,,,,
Qualifier1,3,SD,for absorption study,,,,
Qualifier1,3,SE,esophageal transit study,,,,
Qualifier1,3,SN,for esophageal reflux study,,,,
Qualifier1,3,SP,for esophageal motility study,,,,
Qualifier1,3,SQ,for glomerular filtration rate,,,,
Qualifier1,3,SZ,for placement of localization device,,,,
Qualifier1,3,TA,for plasma radioiron clearance,,,,
Qualifier1,3,TB,for protein loss study,,,,
Qualifier1,3,TC,for gastric emptying,,,,
Qualifier1,3,TD,for radioiron (oral) absorption study,,,,
Qualifier1,3,TE,for red cell radioiron utilization,,,,
Qualifier1,3,TF,for renal clearance,,,,
Qualifier1,3,TG,for renal plasma flow,,,,
Qualifier1,3,TH,for residual urine in bladder,,,,
Qualifier1,3,TK,for ureteral reflux,,,,
Qualifier1,3,TL,for urinary recovery,,,,
Qualifier1,3,VA,without contrast (e.g. plain film),,,,
Qualifier1,3,VC,following intravenous injection of contrast,,,,
Qualifier1,3,VF,following intra-lymphatic injection of contrast,,,,
Qualifier1,3,VH,following injection of air or gas (in cavity),,,,
Qualifier1,3,VJ,following subarachnoid injection of contrast,,,,
Qualifier1,3,VK,following intradiscal injection of contrast,,,,
Qualifier1,3,VL,following intraarticular injection of contrast,,,,
Qualifier1,3,VM,after epidural injection of contrast,,,,
Qualifier1,3,VN,with fluoroscopy,,,,
Qualifier1,3,VR,with double contrast,,,,
Qualifier1,3,VT,with double contrast and glucagon,,,,
Qualifier1,3,VV,following per orifice injection of contrast,,,,
Qualifier1,3,VX,following intra-arterial injection of contrast,,,,
Qualifier1,3,VY,following intra-cardiac injection of contrast,,,,
Qualifier1,3,VZ,following percutaneous injection of contrast,,,,
Qualifier1,3,WA,without enhancement- Deactivated v2015,,,,
Qualifier1,3,WC,with contrast,,,,
Qualifier1,3,WE,with and without enhancement- Deactivated v2015,,,,
Qualifier1,3,WG,following oral administration of contrast,,,,
Qualifier1,3,WN,following antegrade injection of contrast,,,,
Qualifier1,3,WQ,following antegrade injection of contrast with voiding views,,,,
Qualifier1,3,WX,following T-tube or catheter injection of contrast,,,,
Qualifier1,3,WZ,following endoscopic (retrograde) injection of contrast,,,,
Qualifier1,3,XA,following percutaneous (transhepatic) injection of contrast,,,,
Qualifier1,3,XB,following percutaneous trans-hepatic injection of contrast and hemodynamic evaluation,,,,
Qualifier1,3,XJ,following retrograde injection of contrast,,,,
Qualifier1,3,XK,following retrograde injection of contrast using special light source,,,,
Qualifier1,3,XN,following retrograde injection of contrast with voiding views,,,,
Qualifier1,3,ZA,using microscope,,,,
Qualifier1,3,ZB,using computer (with or without stereotaxis),,,,
Qualifier1,3,ZC,using stereotaxis (without computer guidance),,,,
Qualifier1,3,ZE,using camera,,,,
Qualifier1,3,ZF,using light source (infrared),,,,
Qualifier1,3,ZZ,using imaging technique NEC,,,,
Group,5,AB,Antepartum diagnostic,,Antepartum Interventions,1,
Group,5,AC,Antepartum therapeutic,,Antepartum Interventions,1,
Group,5,AD,Antepartum supportive,,Antepartum Interventions,1,
Group,5,CA,Termination of pregnancy,,Antepartum Interventions,1,
Group,5,FB,Diagnostic fetal,,Diagnostic fetal,2,
Group,5,FD,Preventative and therapeutic (interventions) fetus,,Interventions on the Fetus,3,
Group,5,FG,Surgical (interventions) on the fetal digestive system,,Interventions on the Fetus,3,
Group,5,FH,Surgical (interventions) on the fetal circulatory system,,Interventions on the Fetus,3,
Group,5,FJ,Surgical (interventions) on the fetal respiratory system,,Interventions on the Fetus,3,
Group,5,FL,Surgical (interventions) on the fetal nervous system,,Interventions on the Fetus,3,
Group,5,FM,Surgical (interventions) on the fetal urinary system,,Interventions on the Fetus,3,
Group,5,FT,(Interventions on) fetal genetics,,Interventions on the Fetus,3,
Group,5,LB,(Assessment of) labour,,Interventions During Labour and Delivery,3,
Group,5,LC,Latent labour,,Interventions During Labour and Delivery,3,
Group,5,LD,Active labour,,Interventions During Labour and Delivery,3,
Group,5,MD,Delivery (birthing),,Interventions During Labour and Delivery,3,
Group,5,PB,Postpartum diagnostic,,Postpartum Interventions,4,
Group,5,PC,Postpartum therapeutic,,Postpartum Interventions,4,
Group,5,PD,Postpartum supportive,,Postpartum Interventions,4,
Intervention,5,02,Amniocentesis,Percutaneous trans-abdominal puncture of uterus to obtain amniotic fluid,,,
Intervention,5,31,Augmentation of Labour,Methods and techniques of ensuring labour continues or increases in intensity. Artificial rupture of membranes; Administration of oxytocic agent,,,
Intervention,5,09,Biopsy,Sampling of fetal or placental structures prior to the onset of labour for diagnostic purposes. Chorionic villus sampling,,,
Intervention,5,01,Care - Antepartum/Postpartum,"Major antenatal visits, subsequent antenatal visits, immediate postpartum care, and postpartum follow-up visits. Major antenatal visit (e.g. first one)",,,
Intervention,5,14,Counseling,"Therapeutic communication (e.g. discussion between service provider and service recipient), provided to or on behalf of a client, to identify and evaluate, introduce and/or eliminate, reinforce and/or reduce certain attitudes on the part of the client regarding a given situation/condition/impairment, which could alter attitudes and in turn change/modify behaviour. Such counseling sessions may be provided on a ""one to one"" or ""one to many"" basis. Nutritional counseling; Exercise and physical fitness counseling",,,
Intervention,5,56,Delivery - breech - vaginal,All vaginal deliveries with the fetus in a breech presentation including those with the use of forceps to the aftercoming head.  Spontaneous breech delivery; Partial breech extraction with Piper forceps to aftercoming head,,,
Intervention,5,60,Delivery - Cesarean section,A procedure in which the fetus is delivered through an incision in the abdominal wall and uterus. Lower segment Caesarean section; Classical Caesarean section with use of forceps,,,
Intervention,5,55,Delivery - forceps and vacuum combined,Deliveries which require the use of both forceps and vacuum traction devices. Use of vacuum for descent of fetal head with forceps applied for delivery,,,
Intervention,5,53,Delivery - forceps traction and rotation,Deliveries that are assisted by the use of an instrument designed to extract or turn the fetal head. The Society of Obstetricians and Gynecologists of Canada define types of forceps. (See definitions in tabular listing at 5.MD.53.^^). Outlet forceps; Low forceps with episiotomy,,,
Intervention,5,50,Delivery - spontaneous - manually assisted vaginal,"Deliveries considered normal, spontaneous, vertex, requiring minimal assistance from obstetrical personnel (e.g. Ritgen maneuver) with or without perineal massage. Normal vertex delivery with episiotomy",,,
Intervention,5,51,Delivery - spontaneous - unassisted vaginal,Autonomous delivery where health or obstetrical professionals do not intervene or assist during the delivery (e.g. unattended delivery).,,,
Intervention,5,54,Delivery - vacuum traction,Deliveries that are assisted by the use of a traction device which uses suction to attach to the fetal scalp.  Low vacuum traction; Vacuum traction unspecified with episiotomy,,,
Intervention,5,52,Delivery - water birth,Deliveries that take place with the mother submersed in water. Baby delivered totally submersed in water,,,
Intervention,5,04,Doppler studies,"Doppler studies done on the pregnant woman of the fetus, uterine arteries/veins, umbilical cord or other fetal vessels. Doppler study of fetal heart; Doppler study of uterine arteries/veins",,,
Intervention,5,73,Drainage,Taking out or letting out fluid or gas from a body site. Amnioreduction; Needling of fetal abdomen (to treat hydronephrosis),,,
Intervention,5,13,Education,"Education normally provided in a structured format (e.g. classroom style), to enhance knowledge and skill that directly or indirectly assists the client/family to understand, monitor and manage their situation/condition/impairment. Includes, where applicable, provision of educational materials such as pamphlets, tapes, books and videos. Such educational sessions may be provided on a ""one to one"" or ""one to many"" basis. Childbirth classes; Breast feeding and infant nutrition classes",,,
Intervention,5,06,Evaluation,Biometric examinations of the fetus; Biophysical profiles; Fetal movement counts; Non-stress testing; Amniotic fluid index,,,
Intervention,5,05,Imaging (alternative) techniques,"Any other imaging techniques done on the pregnant woman, excluding ultrasound. Pelvimetry with placental localization; MRI of gravid uterus",,,
Intervention,5,30,Induction of Labour,Methods and techniques of causing labour to occur. Artificial rupture of membranes. EXCLUDES these interventions when labour has begun spontaneously - see Augmentation,,,
Intervention,5,74,Insertion,"Putting in an appliance, device [or materials] that can be used to assist, perform or prevent a physiological function. Placement of vesico-amniotic shunt",,,
Intervention,5,70,Inspection,"Percutaneous trans-abdominal examination of the umbilical cord, embryo or fetus using an endoscopic approach. Fetoscopy; Embryoscopy",,,
Intervention,5,94,Intervention NEC - fetal,Procedures performed in utero on the fetus.,,,
Intervention,5,91,Interventions NEC - maternal - (following delivery or termination),"Procedures done following delivery or termination to remove retained products of conception, control bleeding or correct an inverted uterus. Dilation and curettage -EXCLUDES that done for termination of pregnancy (see Termination of pregnancy -surgical); Manual removal of placenta; Manual correction of inverted uterus",,,
Intervention,5,45,Interventions to facilitate delivery - fetal NEC,Interventions done directly to the fetus to enable passage of the fetus through the birth canal. Fracture of humerus or clavicle; Needling of fetal abdomen (at time of delivery - excludes that done in the antepartum period,,,
Intervention,5,47,Interventions to facilitate delivery - maternal NEC,"Incisions performed to enlarge the birth canal to permit delivery of the fetus. EXCLUDES episiotomy (see Delivery, by type); Symphysiotomy; Episioproctotomy",,,
Intervention,5,07,Monitoring - fetal,"Monitoring of the fetal heart during latent or active labour using techniques such as auscultation, electronic monitoring or use of a fetoscope. Continuous electronic monitoring",,,
Intervention,5,08,Monitoring - maternal,Monitoring of the vital signs or reflexes of the mother during latent or active labour; Initial triage to assess establishment or stage of labour,,,
Intervention,5,20,Pharmacotherapy,"Treating using chemical/biochemical agents administered through various routes (e.g. orally, by injection, per orifice, topical, direct instillation etc.) regardless of whether the intent is to treat the mother or the fetus. Diabetes therapy; Anti-nausea/anti-emetic; Immunoglobulins",,,
Intervention,5,16,Positioning - maternal,A listing of physical positions or locations in which a client may use or be placed in to cope with labour or delivery. In bed; Ambulatory,,,
Intervention,5,24,Preparation by dilating cervix (for),Dilation or ripening of cervix; in preparation for the termination of pregnancy; in preparation for the induction of labour,,,
Intervention,5,25,Removal of Device,Removal of device during pregnancy; Removal of cervical cerclage suture (e.g. Shirodkar),,,
Intervention,5,93,Removal of extrauterine pregnancy,The extraction of an embryo or fetus that has developed outside the uterine cavity. Salpingectomy for ectopic pregnancy; Fimbrial evacuation of ectopic pregnancy,,,
Intervention,5,80,Repair,"Restoring a body part by encouraging regeneration (of tissue) or by surgical apposition. Insertion of cervical cerclage suture (e.g. Shirodkar); Suture of obstetrical laceration (e.g. 1st, 2nd, 3rd or 4th degree tears); Re-suturing of episiotomy dehiscence",,,
Intervention,5,46,Replacement,Interventions where fetal parts or the umbilical cord are returned to the uterine cavity. Replacement of prolapsed umbilical cord within the uterus; Replacement of fetal head,,,
Intervention,5,11,"Sampling, cord blood",Refers to the drawing of fetal blood immediately following birth,,,
Intervention,5,15,Support,"Therapeutic communication, actions or devices provided to a client to assist with coping with a given situation/condition/impairment. Use of music therapy during labour; Use of birthing ball; Patterned breathing techniques to ease maternal labour distress",,,
Intervention,5,32,Suppression of Labour,"Methods and techniques of stopping or preventing labour from occurring; Administration of pharmacological labour suppressants (e.g. Ritodrine, bromocriptine)",,,
Intervention,5,88,Termination of pregnancy - pharmacological,"The use of pharmacological agents to induce expulsion from the uterus of the products of conception, embryo or a non-viable fetus. Administration of antacid treatment for termination (e.g. RU486, misoprostol); Injection of salt solution into amniotic sac; Administration of oxytocin to induce labour",,,
Intervention,5,90,Termination of pregnancy - selective fetal reduction,The act of reducing the number of fetuses in a multiple pregnancy in order to maintain the health of the remaining fetuses and/or the mother. Cardiac puncture; Ligation of umbilical cord,,,
Intervention,5,89,Termination of pregnancy - surgical,"The removal of products of conception (embryo or non-viable fetus) from the uterus by aspiration, curettage or other surgical techniques. Aspiration D&C; Dilation and Curettage; Hysterectomy of gravid uterus",,,
Intervention,5,78,Therapy - gene,"An intervention using viruses as vectors to supply somatic cells with healthy copies of missing or flawed genes to fight disease (e.g. cystic fibrosis, adenosine deaminase deficiency (ADA deficiency).",,,
Intervention,5,76,Therapy - laser placenta,Photocoagulation using laser to occlude communicating vessels. (e.g. twin-to twin transfusion syndrome),,,
Intervention,5,21,Therapy - postpartum therapies on the breast,"Techniques used to alleviate postpartum breast discomfort and/or disorders. Expression of breast milk; Nipple care. 
EXCLUDES interventions related to lactational and/or non-lactational breast abscesses after the six-week puerperium period.  ",,,
Intervention,5,72,Transfusion / instillation,"Percutaneous infusion of a substance into the gravid uterus (e.g. blood for in-utero transfusion, saline injection into amniotic fluid for volume replacement); Amnioinfusion; Intrauterine fetal transfusion",,,
Intervention,5,03,Ultrasound,Fetal and/or maternal assessment using ultrasound probe - EXCLUDES ultrasounds that do not examine the gravid uterus; Abdominal ultrasound of gravid uterus; Trans-vaginal ultrasound of gravid uterus,,,
Intervention,5,40,Version and/or rotation,"Intervention in which the fetus is turned in utero, either before or during labour or at the time of delivery, for the purpose of changing the fetal presentation. External cephalic version; Manual rotation of fetal head; Corkscrew maneuver",,,
Qualifier1,5,AA,without episiotomy,,,,
Qualifier1,5,AB,major antenatal visit,,,,
Qualifier1,5,AC,subsequent visits,,,,
Qualifier1,5,AD,biophysical profile with non stress test,,,,
Qualifier1,5,AE,biophysical profile without non stress test,,,,
Qualifier1,5,AF,fetal movement count,,,,
Qualifier1,5,AG,non stress test,,,,
Qualifier1,5,AH,contraction stress test,,,,
Qualifier1,5,AJ,amniotic fluid index [AFI],,,,
Qualifier1,5,AK,external tocodynamometer,,,,
Qualifier1,5,AL,combined routes of administration (e.g. oral followed by intravenous),,,,
Qualifier1,5,AM,using manual palpation and observation,,,,
Qualifier1,5,AN,using membrane stripping,,,,
Qualifier1,5,AP,using artificial rupture of membranes,,,,
Qualifier1,5,AW,using combination of two or more methods,,,,
Qualifier1,5,AX,psychophysiologic preparation,,,,
Qualifier1,5,AY,developing a birth plan,,,,
Qualifier1,5,AZ,nipple stimulation,,,,
Qualifier1,5,BA,individual childbirth teaching,,,,
Qualifier1,5,BB,group childbirth teaching,,,,
Qualifier1,5,BC,birthing educational tour,,,,
Qualifier1,5,BD,diet teaching and assessment,,,,
Qualifier1,5,BE,classes for fathers,,,,
Qualifier1,5,BF,classes for siblings,,,,
Qualifier1,5,BG,classes for the pregnant adolescent,,,,
Qualifier1,5,BH,exposure to infectious diseases in pregnancy,,,,
Qualifier1,5,BJ,stress alleviation,,,,
Qualifier1,5,BK,lifestyle adjustment,,,,
Qualifier1,5,BL,sexuality,,,,
Qualifier1,5,BM,exercise and physical fitness,,,,
Qualifier1,5,BN,developmental abnormalities,,,,
Qualifier1,5,BP,genetic counseling,,,,
Qualifier1,5,BQ,nutritional,,,,
Qualifier1,5,BR,work during pregnancy,,,,
Qualifier1,5,BS,physical/mental abuse during pregnancy,,,,
Qualifier1,5,BT,pre-existing conditions in pregnancy (e.g. epilepsy),,,,
Qualifier1,5,BU,parenting,,,,
Qualifier1,5,BV,same sex parenting,,,,
Qualifier1,5,BW,contraception and sterilization,,,,
Qualifier1,5,BX,suppression of lactation,,,,
Qualifier1,5,BY,community resources,,,,
Qualifier1,5,BZ,physical comfort measures,,,,
Qualifier1,5,CA,oral approach,,,,
Qualifier1,5,CB,Cesarean hysterectomy with use of both vacuum and forceps,,,,
Qualifier1,5,CC,classical section [vertical incision in upper segment] with use of both vacuum and forceps,,,,
Qualifier1,5,CD,extraperitoneal section with use of both vacuum and forceps,,,,
Qualifier1,5,CE,inverted T incision with use of both vacuum and forceps,,,,
Qualifier1,5,CF,low segment transverse incision with use of both vacuum and forceps,,,,
Qualifier1,5,CG,"other type of Cesarean section NEC [e.g. vaginal, J incision] with use of both vacuum and forceps",,,,
Qualifier1,5,CK,per orifice approach,,,,
Qualifier1,5,DA,endoscopic approach,,,,
Qualifier1,5,EC,salpingostomy using open approach,,,,
Qualifier1,5,ED,salpingostomy using endoscopic approach,,,,
Qualifier1,5,EF,endoscopic approach with manual technique,,,,
Qualifier1,5,EJ,partial salpingectomy using open approach,,,,
Qualifier1,5,EK,partial salpingectomy using endoscopic approach,,,,
Qualifier1,5,EM,other extra-uterine pregnancy using open approach,,,,
Qualifier1,5,EQ,other extrauterine pregnancy using endoscopic approach,,,,
Qualifier1,5,FB,menstrual extraction or regulation [minisuction curettage],,,,
Qualifier1,5,FC,"injection into amniotic sac, intrauterine pregnancy,image assisted",,,,
Qualifier1,5,FF,"injection into amniotic sac, extrauterine pregnancy, image assisted",,,,
Qualifier1,5,FH,"injection into amniotic sac, extrauterine pregnancy, endoscopic approach",,,,
Qualifier1,5,FJ,using cardiac puncture,,,,
Qualifier1,5,FK,using intracardiac/intrathoracic injection,,,,
Qualifier1,5,FL,using sac aspiration,,,,
Qualifier1,5,FM,using vascular occlusion,,,,
Qualifier1,5,GA,using dilatation and curettage,,,,
Qualifier1,5,GB,using endoscopic approach with special excisional technique,,,,
Qualifier1,5,GC,using aspiration and curettage,,,,
Qualifier1,5,GD,dilation and evacuation [D & E],,,,
Qualifier1,5,GH,using episiotomy,,,,
Qualifier1,5,GJ,using incision of cervix,,,,
Qualifier1,5,GK,using symphysiotomy,,,,
Qualifier1,5,GL,using episioproctotomy,,,,
Qualifier1,5,GN,removal of cerclage material,,,,
Qualifier1,5,GP,using intravascular approach,,,,
Qualifier1,5,GS,major morphological assessment,,,,
Qualifier1,5,GU,incision of vagina,,,,
Qualifier1,5,GV,transperineal approach,,,,
Qualifier1,5,GW,using pelvimetry with placental localization,,,,
Qualifier1,5,GX,using pelvimetry without placental localization,,,,
Qualifier1,5,GY,using placentography,,,,
Qualifier1,5,GZ,using other imaging techniques,,,,
Qualifier1,5,HA,using percutaneous approach,,,,
Qualifier1,5,HB,using patterned breathing techniques,,,,
Qualifier1,5,HC,using other relaxation techniques,,,,
Qualifier1,5,HD,using counter pressure,,,,
Qualifier1,5,HE,using hot/cold packs,,,,
Qualifier1,5,HF,using music therapy,,,,
Qualifier1,5,HG,using birthing ball,,,,
Qualifier1,5,HH,using hydrotherapy,,,,
Qualifier1,5,HJ,using touch therapy,,,,
Qualifier1,5,HK,using therapeutic touch,,,,
Qualifier1,5,HL,using coaching,,,,
Qualifier1,5,HM,using massage,,,,
Qualifier1,5,HN,manual removal of placenta,,,,
Qualifier1,5,HP,manual correction of inverted uterus,,,,
Qualifier1,5,HQ,surgical correction of inverted uterus,,,,
Qualifier1,5,HR,manual exploration of uterine cavity,,,,
Qualifier1,5,HS,visualization,,,,
Qualifier1,5,HT,using uterine packing,,,,
Qualifier1,5,HU,using bimanual compression and massage,,,,
Qualifier1,5,HV,compression using intrauterine balloon,,,,
Qualifier1,5,JA,external approach,,,,
Qualifier1,5,JB,using internal podalic version,,,,
Qualifier1,5,JC,using manual rotation of fetal head,,,,
Qualifier1,5,JD,using forceps rotation of fetal head,,,,
Qualifier1,5,JE,using forceps rotation with episiotomy,,,,
Qualifier1,5,JH,laceration of corpus uteri [body of uterus],,,,
Qualifier1,5,JJ,laceration of cervix occurring with vaginal delivery,,,,
Qualifier1,5,JK,laceration of cervix occurring with Cesarean delivery,,,,
Qualifier1,5,JL,laceration of broad ligament,,,,
Qualifier1,5,JM,secondary incision or wound dehiscence of uterus,,,,
Qualifier1,5,JN,secondary repair of episiotomy,,,,
Qualifier1,5,JP,"laceration of pelvic floor, perineum, lower vagina or vulva",,,,
Qualifier1,5,JQ,laceration of rectum and sphincter ani,,,,
Qualifier1,5,JR,laceration of bladder and urethra,,,,
Qualifier1,5,JS,incisional hematoma,,,,
Qualifier1,5,JT,other hematoma of vulva or vagina,,,,
Qualifier1,5,JU,high vaginal laceration,,,,
Qualifier1,5,JW,using lower segment transverse incision and forceps,,,,
Qualifier1,5,JX,using lower segment transverse incision and vacuum,,,,
Qualifier1,5,JY,using classical incision,,,,
Qualifier1,5,JZ,using classical incision and forceps,,,,
Qualifier1,5,KA,using classical incision and vacuum,,,,
Qualifier1,5,KB,using extraperitoneal incision,,,,
Qualifier1,5,KC,using extraperitoneal incision and forceps,,,,
Qualifier1,5,KD,using extraperitoneal incision and vacuum,,,,
Qualifier1,5,KE,using Cesarean hysterectomy,,,,
Qualifier1,5,KF,using laparotomy (for abdominal pregnancy),,,,
Qualifier1,5,KG,"using inverted ""T"" incision",,,,
Qualifier1,5,KH,using outlet (forceps or vacuum) without episiotomy,,,,
Qualifier1,5,KJ,using outlet (forceps or vacuum) with episiotomy,,,,
Qualifier1,5,KK,"using low forceps/ forceps NOS, low vacuum without episiotomy",,,,
Qualifier1,5,KL,using low forceps/vacuum with episiotomy,,,,
Qualifier1,5,KM,using mid forceps/vacuum without episiotomy,,,,
Qualifier1,5,KN,using mid forceps/vacuum with episiotomy,,,,
Qualifier1,5,KP,using double application of forceps without episiotomy [e.g. Scanzoni maneuver],,,,
Qualifier1,5,KQ,using vacuum (for descent only) with forceps extraction,,,,
Qualifier1,5,KR,using vacuum (for descent only) with forceps extraction & episiotomy,,,,
Qualifier1,5,KS,using double application of forceps with episiotomy [Scanzoni maneuver],,,,
Qualifier1,5,KT,using other type of incision,,,,
Qualifier1,5,KV,under water,,,,
Qualifier1,5,KW,above water,,,,
Qualifier1,5,KY,bed,,,,
Qualifier1,5,KZ,ambulatory,,,,
Qualifier1,5,LA,using open approach,,,,
Qualifier1,5,LB,lateral,,,,
Qualifier1,5,LC,delivery on all fours (limbs),,,,
Qualifier1,5,LD,lithotomy position,,,,
Qualifier1,5,LE,squatting position,,,,
Qualifier1,5,LF,modified squatting position,,,,
Qualifier1,5,LG,using multiple position changes,,,,
Qualifier1,5,LH,using Wood's corkscrew maneuver,,,,
Qualifier1,5,LJ,standing,,,,
Qualifier1,5,LK,sitting,,,,
Qualifier1,5,LL,using flexion of legs over abdomen (McRobert's maneuver for shoulder dystocia,,,,
Qualifier1,5,LM,using modified Prague maneuver,,,,
Qualifier1,5,LN,using Pinard's maneuver,,,,
Qualifier1,5,LP,using Zavanelli maneuver [cephalic replacement],,,,
Qualifier1,5,LR,umbilical cord [cordocentesis],,,,
Qualifier1,5,LS,using chorionic villus sampling <12 weeks transcervical approach,,,,
Qualifier1,5,LT,using chorionic villus sampling <12 weeks transabdominal approach,,,,
Qualifier1,5,LU,using late chorionic villus sampling >12 weeks transcervical approach [placental biopsy],,,,
Qualifier1,5,LV,using late chorionic villus sampling >12 weeks transabdominal approach [placental biopsy],,,,
Qualifier1,5,MA,using expression (emptying),,,,
Qualifier1,5,MB,using binding,,,,
Qualifier1,5,MC,using heat,,,,
Qualifier1,5,MD,using ice,,,,
Qualifier1,5,ME,nipple care,,,,
Qualifier1,5,MF,using electric pump,,,,
Qualifier1,5,MG,using manual pump,,,,
Qualifier1,5,MJ,fetal head [cerebral artery],,,,
Qualifier1,5,MK,fetal heart,,,,
Qualifier1,5,ML,uterine artery/arteries,,,,
Qualifier1,5,MM,umbilical artery/vein,,,,
Qualifier1,5,MN,transcutaneous electrical nerve stimulation [TENS],,,,
Qualifier1,5,MP,using hypnosis,,,,
Qualifier1,5,MQ,using acupuncture,,,,
Qualifier1,5,MR,using pressure points,,,,
Qualifier1,5,MU,of other fetal vessels,,,,
Qualifier1,5,MV,other fetal parts,,,,
Qualifier1,5,NE,using vacuum type unspecified,,,,
Qualifier1,5,NF,using vacuum type unspecified with episiotomy,,,,
Qualifier1,5,NL,using partial breech extraction,,,,
Qualifier1,5,NM,using partial breech extraction with manually assisted delivery of head,,,,
Qualifier1,5,NN,using partial breech extraction with forceps to aftercoming head,,,,
Qualifier1,5,NP,using total breech extraction,,,,
Qualifier1,5,NQ,using total breech extraction with manually assisted delivery of head,,,,
Qualifier1,5,NR,using total breech extraction with forceps to aftercoming head,,,,
Qualifier1,5,NU,using unspecified [unqualified] breech extraction,,,,
Qualifier1,5,NV,using unspecified breech extract with manually assisted delivery of head,,,,
Qualifier1,5,NW,using unspecified breech extraction with forceps to aftercoming head,,,,
Qualifier1,5,PA,using partial breech extraction with spontaneous delivery of head & episiotomy,,,,
Qualifier1,5,PB,using partial breech extraction with manual delivery of head & episiotomy,,,,
Qualifier1,5,PC,using partial breech extraction with forceps to aftercoming head [e.g. Piper's] and episiotomy,,,,
Qualifier1,5,PD,using total breech extraction with episiotomy,,,,
Qualifier1,5,PE,using total breech with manual delivery of head & episiotomy,,,,
Qualifier1,5,PF,using total breech extraction with forceps delivery of aftercoming head & episiotomy,,,,
Qualifier1,5,PG,using unspecified breech extraction & episiotomy,,,,
Qualifier1,5,PH,using unspecified breech extraction with manual delivery of head & episiotomy,,,,
Qualifier1,5,PJ,using unspecified breech extraction with forceps delivery of aftercoming head & episiotomy,,,,
Qualifier1,5,QA,destruction of (dead) fetus,,,,
Qualifier1,5,QB,fracture of humerus,,,,
Qualifier1,5,QC,fracture of clavicle,,,,
Qualifier1,5,QD,clavicotomy (cleidotomy),,,,
Qualifier1,5,QE,needling of hydrocephalic head,,,,
Qualifier1,5,QF,needling of fetal abdomen,,,,
Qualifier1,5,QG,other methods of decompression of (dead) fetus,,,,
Qualifier1,5,QH,scalp blood sampling,,,,
Qualifier1,5,QJ,"blood sampling, image assisted",,,,
Qualifier1,5,QK,pulse oximetry,,,,
Qualifier1,5,QM,skin,,,,
Qualifier1,5,QN,"open approach, transcervical",,,,
Qualifier1,5,QP,liver,,,,
Qualifier1,5,QS,vesicoamniotic catheter shunt,,,,
Qualifier1,5,QU,muscle,,,,
Qualifier1,5,QV,using endoscopic approach and insertion of vesicoamniotic catheter shunt,,,,
Qualifier1,5,QX,site NEC,,,,
Qualifier1,5,RA,"using ""T"" incision with forceps",,,,
Qualifier1,5,RB,"using ""T"" incision with vacuum",,,,
Qualifier1,5,RC,using Cesarean hysterectomy with forcep,,,,
Qualifier1,5,RD,using Cesarean hysterectomy with vacuum,,,,
